"product","user","value"
"Raffaello",1476,5
"Toblerone white",1476,2
"Haribo",1476,2
"Mars",1476,1
"Snickers",1476,1
"Mars",1475,4
"Raffaello",1475,5
"Toblerone white",1475,4
"Haribo",1475,1
"Snickers",1475,5
"Magnum Almond",1475,5
"Mentos Mint",1475,2
"Magnum Almond",1,5
"Mentos Mint",1,3
"Haribo",1,2
"Mars",1,3
"Snickers",1,2
"Toblerone white",1,1
"Raffaello",1,4
"Mentos Mint",4,2
"Snickers",4,3
"Raffaello",4,4
"Toblerone white",4,0
"Magnum Almond",4,4
"Haribo",4,1
"Mars",4,3
"Mentos Mint",1460,4
"Snickers",1460,4
"Toblerone white",1460,5
"Raffaello",1460,2
"Mars",1460,4
"Magnum Almond",1460,5
"Haribo",1460,1
"Fisherman's Friend",1460,5
"Fisherman's Friend",1475,0
"Lentilky",1460,5
"Skittles",1475,2
"Twix",1475,3
"Maltesers",1475,1
"Lentilky",1475,4
"Chupa chups",1475,3
"Lion",1475,3
"Werther's Original",1475,2
"Nimm2",1475,1
"Kinder surprise",1475,4
"Kinder bueno",1475,4
"Kinder bueno white",1475,4
"KitKat",1475,5
"Milky Way",1475,4
"Kinder bueno white",1,4
"Skittles",1,3
"Nimm2",1,3
"Lion",1,2
"Maltesers",1,1
"Lentilky",1,1
"Kinder bueno",1,4
"Chupa chups",1,3
"Fisherman's Friend",1,4
"Twix",1,4
"Werther's Original",1,1
"Prince Polo",1,3
"Kinder surprise",1,4
"KitKat",1,4
"Milky Way",1,2
"Prince Polo",1475,4
"Toffifee",1475,4
"Mamba",1475,2
"Milka Lila Stars Raisins",1475,3
"Kopiko",1475,2
"Chupa chups",280,4
"Lentilky",280,0
"Kinder bueno",280,3
"Kinder bueno white",280,3
"Milka Lila Stars Raisins",280,0
"Haribo",280,5
"Mars",280,4
"KitKat",280,2
"Maltesers",280,0
"Lion",280,4
"Prince Polo",280,3
"Raffaello",280,4
"Skittles",280,3
"Mentos Mint",280,3
"Toffifee",280,2
"Twix",280,4
"Snickers",280,4
"KitKat",871,5
"Kopiko",871,2
"Werther's Original",280,1
"Toffifee",871,4
"Kinder surprise",280,3
"Kopiko",280,3
"Toblerone white",280,0
"Fisherman's Friend",280,0
"Magnum Almond",871,1
"Kinder bueno",871,5
"Mamba",280,2
"Nimm2",280,0
"Maltesers",871,0
"Raffaello",871,5
"Magnum Almond",280,4
"Milky Way",280,4
"Prince Polo",871,4
"Werther's Original",871,5
"Mamba",871,2
"Mars",871,2
"Twix",871,4
"Milka Lila Stars Raisins",871,5
"Mentos Mint",871,3
"Chupa chups",871,4
"Skittles",871,3
"Toblerone white",871,4
"Lion",871,4
"Fisherman's Friend",871,0
"Kinder surprise",871,5
"Haribo",871,1
"Nimm2",871,2
"Kinder bueno white",871,4
